bin,mean_predicted_probability,observed_positive_rate,count,bin_lower,bin_upper,absolute_calibration_error,weight
"(0.0269, 0.0512]",0.03645938011048887,0.04239401496259352,401,0.0269,0.0512,0.005934634852104652,0.10025
"(0.0512, 0.0937]",0.07321034082419292,0.042606516290726815,399,0.0512,0.0937,0.030603824533466106,0.09975
"(0.0937, 0.149]",0.12351590065285563,0.08,400,0.0937,0.149,0.04351590065285563,0.1
"(0.149, 0.237]",0.18885644499212503,0.1625,400,0.149,0.237,0.026356444992125028,0.1
"(0.237, 0.382]",0.3047528167441487,0.3125,400,0.237,0.382,0.007747183255851275,0.1
"(0.382, 0.541]",0.4576154600828886,0.5025,400,0.382,0.541,0.04488453991711133,0.1
"(0.541, 0.729]",0.6292798890173436,0.6725,400,0.541,0.729,0.043220110982656434,0.1
"(0.729, 0.84]",0.7933201850950717,0.6925,400,0.729,0.84,0.10082018509507173,0.1
"(0.84, 0.94]",0.8941733549535275,0.8925,400,0.84,0.94,0.001673354953527495,0.1
"(0.94, 0.983]",0.9611856856942177,0.99,400,0.94,0.983,0.028814314305782296,0.1
