ville,n,actual_risk_rate,predicted_risky_rate,avg_pd
Oujda,305,0.46557377049180326,0.4557377049180328,0.48939308524131775
Tetouan,368,0.47554347826086957,0.44565217391304346,0.4838433563709259
Marrakech,369,0.4742547425474255,0.44173441734417346,0.4738449454307556
Agadir,307,0.4527687296416938,0.4364820846905538,0.481889545917511
Kenitra,346,0.4190751445086705,0.430635838150289,0.4658113121986389
Mohammedia,326,0.4386503067484663,0.4294478527607362,0.4696884751319885
Rabat,343,0.44314868804664725,0.40524781341107874,0.4540897309780121
Temara,336,0.4226190476190476,0.3958333333333333,0.44802728295326233
Meknes,343,0.42857142857142855,0.3848396501457726,0.4518733024597168
Casablanca,303,0.42574257425742573,0.37623762376237624,0.43359577655792236
Tanger,306,0.42810457516339867,0.3758169934640523,0.4266020357608795
Fes,348,0.39080459770114945,0.3505747126436782,0.42296454310417175
