,0
ratio_couverture,0.76789
valeur_garantie,0.76789
type_garantie,0.76789
garantie_presente,0.75273
valeur_bien,0.75273
type_bien,0.75273
localisation_bien,0.75273
prix_vehicule,0.66939
age_vehicule,0.66939
marque_vehicule,0.66939
valeur_garantie_auto,0.66939
type_vehicule,0.66939
ratio_apport,0.0
apport_personnel,0.0
objet_credit,0.0
mensualite_estimee,0.0
taux_interet,0.0
id_demande,0.0
taux_endettement,0.0
date_demande,0.0
score_defaut,0.0
niveau_risque,0.0
decision,0.0
duree_mois,0.0
montant_credit,0.0
type_credit,0.0
anciennete_emploi_mois,0.0
age,0.0
sexe,0.0
situation_familiale,0.0
nombre_personnes_charge,0.0
niveau_etude,0.0
ville,0.0
type_logement,0.0
statut_professionnel,0.0
type_contrat,0.0
secteur_activite,0.0
anciennete_bancaire_mois,0.0
revenu_mensuel,0.0
revenu_supplementaire,0.0
charges_mensuelles,0.0
credits_en_cours,0.0
mensualites_existantes,0.0
epargne_mensuelle,0.0
solde_moyen_compte,0.0
incidents_paiement_12m,0.0
retards_paiement_12m,0.0
target_default,0.0
